,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
5990,NESTLEIND,Nestle India Limited,EQ,2nd Interim Dividend Rs.18/- Per Share (Purpose Revised),1.0,12-Dec-2012,13-Dec-2012,-,-
6095,NESTLEIND,Nestle India Limited,EQ,Interim Dividend Rs 12.50 Per Share,1.0,25-Feb-2013,26-Feb-2013,-,-
7051,NESTLEIND,Nestle India Limited,EQ,2nd Interim Dividend Rs.18/- Per Share (Purpose Revised),1.0,01-Nov-2013,05-Nov-2013,-,-
7310,NESTLEIND,Nestle India Limited,EQ,Annual General Meeting / Final Dividend - Rs 12.50/- Per Share,1.0,15-May-2014,-,19-May-2014,20-May-2014
7981,NESTLEIND,Nestle India Limited,EQ,2nd Interim Dividend Rs.30/- Per Share (Purpose Revised),1.0,15-Sep-2014,16-Sep-2014,-,-
8220,NESTLEIND,Nestle India Limited,EQ,Third Interim Dividend - Rs 8/- Per Share (Purpose Revised),1.0,08-Dec-2014,09-Dec-2014,-,-
8386,NESTLEIND,Nestle India Limited,EQ,Annual General Meeting/Final Dividend - Rs 12.50/- Per Share / Interim Dividend - Rs 14/- Per Share (Purpose Revised),1.0,19-May-2015,-,21-May-2015,22-May-2015
9256,NESTLEIND,Nestle India Limited,EQ, Interim Dividend-Rs 16/- Per Share,1.0,11-Dec-2015,14-Dec-2015,-,-
9645,NESTLEIND,Nestle India Limited,EQ, Annual General Meeting/Final Dividend- Rs 18.50/- Per Share + Interim Dividend -Rs 12/- Per Share (Purpose Revised),1.0,18-May-2016,-,20-May-2016,21-May-2016
9920,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Re 12/- Per Share(Purpose Revised),1.0,05-Aug-2016,08-Aug-2016,-,-
10362,NESTLEIND,Nestle India Limited,EQ, Interim Dividend Rs 16/- Per Share (Purpose Revised),1.0,09-Dec-2016,13-Dec-2016,-,-
10561,NESTLEIND,Nestle India Limited,EQ, Annual General Meeting/Dividend - Rs 23/- Per Share/Interim Dividend -Rs 15/- Per Share,1.0,19-May-2017,-,23-May-2017,24-May-2017
10888,NESTLEIND,Nestle India Limited,EQ, Interim Dividend Rs 15/- Per Share,1.0,02-Aug-2017,03-Aug-2017,-,-
11478,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 33/- Per Share (Purpose Revised),1.0,11-Dec-2017,12-Dec-2017,-,-
11661,NESTLEIND,Nestle India Limited,EQ, Annual General Meeting/ Final Dividend - Rs 23 Per Share/ Interim Dividend - Rs 20 Per Share (Purpose Revised),1.0,16-May-2018,-,18-May-2018,19-May-2018
12088,NESTLEIND,Nestle India Limited,EQ, Interim Dividend Rs 20 Per Share,1.0,10-Aug-2018,13-Aug-2018,-,-
12626,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 50 Per Share,1.0,12-Dec-2018,13-Dec-2018,-,-
12805,NESTLEIND,Nestle India Limited,EQ, Annual General Meeting/ Dividend - Rs 25 Per Share,1.0,30-Apr-2019,-,03-May-2019,04-May-2019
12806,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 23 Per Share,1.0,06-May-2019,07-May-2019,-,-
13265,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 23 Per Share/ Special Dividend - Rs180 Per Share,1.0,09-Aug-2019,13-Aug-2019,-,-
13791,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 55 Per Share,1.0,10-Dec-2019,11-Dec-2019,-,-
14220,NESTLEIND,Nestle India Limited,EQ, Annual General Meeting/Dividend - Rs 61 Per Share,1.0,11-Jun-2020,-,13-Jun-2020,19-Jun-2020
15014,NESTLEIND,Nestle India Limited,EQ, Annual General Meeting/Dividend - Rs 65 Per Share,1.0,29-Apr-2021,-,01-May-2021,07-May-2021
15015,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 25 Per Share,1.0,29-Apr-2021,-,01-May-2021,07-May-2021
15871,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 110 Per Share,1.0,26-Oct-2021,27-Oct-2021,-,-
16259,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 25 Per Sh/Dividend - Rs 65 Per Share,1.0,21-Apr-2022,22-Apr-2022,-,-
17276,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 120 Per Share,1.0,31-Oct-2022,01-Nov-2022,-,-
17628,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs  27 Per Share,1.0,21-Apr-2023,21-Apr-2023,-,-
17632,NESTLEIND,Nestle India Limited,EQ,Final Dividend - Rs 75 Per Share,1.0,21-Apr-2023,21-Apr-2023,-,-
18724,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 140 Per Share,1.0,01-Nov-2023,01-Nov-2023,-,-
18977,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 7 Per Share,1.0,15-Feb-2024,15-Feb-2024,-,-
19358,NESTLEIND,Nestle India Limited,EQ,Dividend - Rs 8.50 Per Share,1.0,16-Jul-2024,16-Jul-2024,-,-
19359,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 2.75 Per Share,1.0,16-Jul-2024,16-Jul-2024,-,-
416,NTPC,NTPC Limited,EQ,Dividend-12%,10.0,08-Sep-2005,-,10-Sep-2005,23-Sep-2005
810,NTPC,NTPC Limited,EQ,Agm/Dividend-8%,10.0,30-Aug-2006,-,01-Sep-2006,15-Sep-2006
1044,NTPC,NTPC Limited,EQ,Interim Dividend-24%     Purpose Revised,10.0,02-Feb-2007,05-Feb-2007,-,-
1473,NTPC,NTPC Limited,EQ,Agm/Final Dividend-8%,10.0,30-Aug-2007,-,01-Sep-2007,12-Sep-2007
1760,NTPC,NTPC Limited,EQ,Interim Dividend - 27%   Purpose Revised,10.0,04-Feb-2008,05-Feb-2008,-,-
2230,NTPC,NTPC Limited,EQ,Agm/Final Dividend - 8%,10.0,28-Aug-2008,-,30-Aug-2008,17-Sep-2008
2601,NTPC,NTPC Limited,EQ,Interim Dividend - 28%   Purpose Revised,10.0,29-Jan-2009,30-Jan-2009,-,-
3422,NTPC,NTPC Limited,EQ,Annual General Meeting And Final Dividend Re.0.80 Per Share,10.0,08-Sep-2010,-,11-Sep-2010,23-Sep-2010
3829,NTPC,NTPC Limited,EQ,Interim Dividend-Rs.3/- Per Share (Purpose Revised),10.0,04-Feb-2011,07-Feb-2011,-,-
4564,NTPC,NTPC Limited,EQ,Annual General Meeting And Dividend Re.0.80 Per Share,10.0,08-Sep-2011,-,10-Sep-2011,20-Sep-2011
4956,NTPC,NTPC Limited,EQ,Interim Dividend Rs.3.50 Per Share (Purpose Revised),10.0,31-Jan-2012,01-Feb-2012,-,-
5659,NTPC,NTPC Limited,EQ,Annual General Meeting And Dividend Re.0.50 Per Share,10.0,06-Sep-2012,-,08-Sep-2012,18-Sep-2012
6105,NTPC,NTPC Limited,EQ,Interim Dividend Rs.3.75 Per Share (Purpose Revised),10.0,01-Mar-2013,04-Mar-2013,-,-
6768,NTPC,NTPC Limited,EQ,Annual General Meeting/Final Dividend Re.0.75 Per Share And Special Dividend Rs.1.25 Per Share,10.0,05-Sep-2013,-,07-Sep-2013,17-Sep-2013
7161,NTPC,NTPC Limited,EQ,Interim Dividend - Rs 4/- Per Share (Purpose Revised),10.0,31-Jan-2014,03-Feb-2014,-,-
7708,NTPC,NTPC Limited,EQ,Annual General Meeting / Final Dividend - Rs 1.75/- Per Share,10.0,13-Aug-2014,-,15-Aug-2014,27-Aug-2014
8262,NTPC,NTPC Limited,EQ,Interim Dividend - Re 0.75/- Per Share (Purpose Revised),10.0,04-Feb-2015,05-Feb-2015,-,-
8878,NTPC,NTPC Limited,EQ, Annual General Meeting/ Dividend -  Rs 1.75/- Per Share,10.0,03-Sep-2015,-,07-Sep-2015,18-Sep-2015
9294,NTPC,NTPC Limited,EQ, Interim Dividend - Rs 1.60/- Per Share (Purpose Revised),10.0,05-Feb-2016,08-Feb-2016,-,-
10069,NTPC,NTPC Limited,EQ, Dividend - Rs 1.75 Per Share,10.0,08-Sep-2016,-,10-Sep-2016,20-Sep-2016
10432,NTPC,NTPC Limited,EQ, Interim Dividend Rs 2.61/- Per Share (Purpose Revised),10.0,15-Feb-2017,16-Feb-2017,-,-
11134,NTPC,NTPC Limited,EQ, Annual General Meeting/Dividend - Rs 2.17 Per Share,10.0,07-Sep-2017,-,09-Sep-2017,20-Sep-2017
11520,NTPC,NTPC Limited,EQ, Interim Dividend Rs 2.73 Per Share (Purpose Revised),10.0,07-Feb-2018,08-Feb-2018,-,-
12230,NTPC,NTPC Limited,EQ, Dividend Rs 2.39 Per Share,10.0,06-Sep-2018,-,08-Sep-2018,20-Sep-2018
12660,NTPC,NTPC Limited,EQ, Interim Dividend - Rs 3.58 Per Share,10.0,06-Feb-2019,07-Feb-2019,-,-
13272,NTPC,NTPC Limited,EQ, Dividend - Rs 2.50 Per Share,10.0,13-Aug-2019,-,15-Aug-2019,21-Aug-2019
14190,NTPC,NTPC Limited,EQ, Interim Dividend - Rs 0.50 Per Hsare,10.0,26-Mar-2020,27-Mar-2020,-,-
14357,NTPC,NTPC Limited,EQ, Dividend - Rs 2.65  Per Share,10.0,13-Aug-2020,14-Aug-2020,-,-
14871,NTPC,NTPC Limited,EQ, Interim Dividend - Rs 3 Per Share,10.0,11-Feb-2021,12-Feb-2021,-,-
15608,NTPC,NTPC Limited,EQ, Dividend - Rs 3.15 Per Share,10.0,08-Sep-2021,10-Sep-2021,-,-
16081,NTPC,NTPC Limited,EQ,Interim Dividend - Rs 4 Per Share,10.0,03-Feb-2022,05-Feb-2022,-,-
16725,NTPC,NTPC Limited,EQ,Dividend - Rs 3 Per Share,10.0,10-Aug-2022,11-Aug-2022,-,-
17425,NTPC,NTPC Limited,EQ,Interim Dividend - Rs 4.25 Per Share,10.0,03-Feb-2023,04-Feb-2023,-,-
18193,NTPC,NTPC Limited,EQ,Dividend - Rs 3 Per Share,10.0,11-Aug-2023,11-Aug-2023,-,-
18732,NTPC,NTPC Limited,EQ,Interim Dividend - Rs 2.25 Per Share,10.0,03-Nov-2023,04-Nov-2023,-,-
18910,NTPC,NTPC Limited,EQ,Interim Dividend - Rs 2.25 Per Share,10.0,06-Feb-2024,06-Feb-2024,-,-
19628,NTPC,NTPC Limited,EQ,Dividend - Rs 3.25 Per Share,10.0,07-Aug-2024,07-Aug-2024,-,-
386,ONGC,Oil & Natural Gas Corporation Limited,EQ,Agm/Dividend-200%,5.0,01-Sep-2005,-,05-Sep-2005,19-Sep-2005
832,ONGC,Oil & Natural Gas Corporation Limited,EQ,Agm/Final Dividend-200%,5.0,06-Sep-2006,-,08-Sep-2006,19-Sep-2006
1027,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend-180%    Purpose Revised,5.0,27-Dec-2006,28-Dec-2006,-,-
1530,ONGC,Oil & Natural Gas Corporation Limited,EQ,Agm/Final Dividend-130%,5.0,10-Sep-2007,-,12-Sep-2007,19-Sep-2007
1742,ONGC,Oil & Natural Gas Corporation Limited,EQ,Int Dividend-Rs.18 Per Shpurpose Revised,5.0,26-Dec-2007,27-Dec-2007,-,-
2283,ONGC,Oil & Natural Gas Corporation Limited,EQ,Agm/Dividend - 140%,5.0,08-Sep-2008,-,10-Sep-2008,19-Sep-2008
2585,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend - 180%  Purpose Revised,5.0,23-Dec-2008,24-Dec-2008,-,-
3443,ONGC,Oil & Natural Gas Corporation Limited,EQ,Annual General Meeting And Final Dividend Rs.15/- Per Share,5.0,09-Sep-2010,-,14-Sep-2010,23-Sep-2010
3772,ONGC,Oil & Natural Gas Corporation Limited,EQ,Special Interim Dividend-Rs.32/- Per Share (Purpose Revised),5.0,20-Dec-2010,21-Dec-2010,-,-
4466,ONGC,Oil & Natural Gas Corporation Limited,EQ,Annual General Meeting And Dividend Re.0.75 Per Share,5.0,18-Aug-2011,-,23-Aug-2011,30-Aug-2011
4936,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend Rs.6.25 Per Share (Purpose Revised),5.0,06-Jan-2012,09-Jan-2012,-,-
5039,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend Rs.1.50 Per Share (Purpose Revised),5.0,19-Mar-2012,20-Mar-2012,-,-
5748,ONGC,Oil & Natural Gas Corporation Limited,EQ,Annual General Meeting/ Dividend Rs 2.00 Per Share,5.0,14-Sep-2012,-,18-Sep-2012,24-Sep-2012
5997,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend Of Rs.5/- Per Equity Share,5.0,24-Dec-2012,26-Dec-2012,-,-
6128,ONGC,Oil & Natural Gas Corporation Limited,EQ,Second Interim Dividend Rs.4 Per Share (Purpose Revised),5.0,22-Mar-2013,25-Mar-2013,-,-
6889,ONGC,Oil & Natural Gas Corporation Limited,EQ,Annual General Meeting / Dividend - Re 0.50 Per Share,5.0,17-Sep-2013,-,19-Sep-2013,25-Sep-2013
7112,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend Of Rs.5/- Per Equity Share,5.0,10-Dec-2013,11-Dec-2013,-,-
7272,ONGC,Oil & Natural Gas Corporation Limited,EQ,Second Interim Dividend - Rs 4.25/- Per Share (Purpose Revised),5.0,27-Mar-2014,29-Mar-2014,-,-
7926,ONGC,Oil & Natural Gas Corporation Limited,EQ,Annual General Meeting And Dividend Re.0.25 Per Share,5.0,11-Sep-2014,-,13-Sep-2014,19-Sep-2014
8226,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend - Rs 5/- Per Share (Purpose Revised),5.0,16-Dec-2014,17-Dec-2014,-,-
8348,ONGC,Oil & Natural Gas Corporation Limited,EQ,Second Interim Dividend - Rs 4/- Per Share (Purpose Revised),5.0,24-Mar-2015,25-Mar-2015,-,-
8905,ONGC,Oil & Natural Gas Corporation Limited,EQ, Annual General Meeting/ Dividend -  Re 0.50/- Per Share,5.0,07-Sep-2015,-,09-Sep-2015,15-Sep-2015
9220,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend -  Rs 4.50/- Per Share (Purpose Revised),5.0,10-Nov-2015,13-Nov-2015,-,-
9388,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend - Re 0.75/- Per Share (Purpose Revised),5.0,16-Mar-2016,17-Mar-2016,-,-
10011,ONGC,Oil & Natural Gas Corporation Limited,EQ, Annual General Meeting/Dividend - Rs 3.25 Per Share,5.0,31-Aug-2016,-,02-Sep-2016,08-Sep-2016
10297,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend Rs 4.50 Per Share (Purpose Revised),5.0,03-Nov-2016,05-Nov-2016,-,-
10402,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend Rs 2.25 Per Share (Purpose Revised),5.0,07-Feb-2017,08-Feb-2017,-,-
11358,ONGC,Oil & Natural Gas Corporation Limited,EQ, Annual General Meeting/Dividend - Re 0.80 Per Share,5.0,21-Sep-2017,-,23-Sep-2017,27-Sep-2017
11401,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend - Rs 3/- Per Share (Purpose Revised),5.0,03-Nov-2017,06-Nov-2017,-,-
11611,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend - Rs 2.25 Per Share (Purpose Revised),5.0,13-Mar-2018,14-Mar-2018,-,-
12507,ONGC,Oil & Natural Gas Corporation Limited,EQ, Dividend Rs 1.35 Per Share,5.0,19-Sep-2018,21-Sep-2018,-,-
12748,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend - Rs 5.25 Per Sh,5.0,28-Feb-2019,01-Mar-2019,-,-
12777,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend - Re 1 Per Sh,5.0,26-Mar-2019,27-Mar-2019,-,-
13352,ONGC,Oil & Natural Gas Corporation Limited,EQ, Annual General Meeting/Dividend - Rs 0.75 Per Share,5.0,22-Aug-2019,23-Aug-2019,-,-
14165,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend - Rs 5 Per Share,5.0,23-Mar-2020,24-Mar-2020,-,-
14916,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend - Rs 1.75 Per Share,5.0,17-Feb-2021,20-Feb-2021,-,-
15604,ONGC,Oil & Natural Gas Corporation Limited,EQ, Dividend - Rs 1.85 Per Share,5.0,08-Sep-2021,10-Sep-2021,-,-
15988,ONGC,Oil & Natural Gas Corporation Limited,EQ, Interim Dividend - Rs 5.50 Per Share,5.0,22-Nov-2021,23-Nov-2021,-,-
16176,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend - Rs 1.75 Per Share,5.0,21-Feb-2022,22-Feb-2022,-,-
16810,ONGC,Oil & Natural Gas Corporation Limited,EQ,Dividend - Rs 3.25 Per Share,5.0,18-Aug-2022,19-Aug-2022,-,-
17361,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend - Rs 6.75 Per Share,5.0,21-Nov-2022,22-Nov-2022,-,-
17584,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend - Rs 4 Per Share,5.0,24-Feb-2023,24-Feb-2023,-,-
18230,ONGC,Oil & Natural Gas Corporation Limited,EQ,Dividend - Re 0.50 Per Share,5.0,18-Aug-2023,18-Aug-2023,-,-
18828,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend - Rs 5.75 Per Share,5.0,21-Nov-2023,21-Nov-2023,-,-
19000,ONGC,Oil & Natural Gas Corporation Limited,EQ,Interim Dividend - Rs 4 Per Share,5.0,16-Feb-2024,17-Feb-2024,-,-
19809,ONGC,Oil & Natural Gas Corporation Limited,EQ,Dividend - Rs 2.50 Per Share,5.0,23-Aug-2024,23-Aug-2024,-,-
1784,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend - 5%    Purpose Revised,10.0,10-Mar-2008,11-Mar-2008,-,-
2250,POWERGRID,Power Grid Corporation of India Limited,EQ,Agm/Dividend - 7%,10.0,01-Sep-2008,-,03-Sep-2008,18-Sep-2008
2613,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend - 5%    Purpose Revised,10.0,04-Feb-2009,05-Feb-2009,-,-
2744,POWERGRID,Power Grid Corporation of India Limited,EQ,Dividend-Re.0.70 Pr Share,10.0,21-Aug-2009,-,25-Aug-2009,09-Sep-2009
3409,POWERGRID,Power Grid Corporation of India Limited,EQ,Annual General Meeting And Dividend Re.1/- Per Share,10.0,07-Sep-2010,-,09-Sep-2010,24-Sep-2010
3857,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend-Re.0.50 Per Share (Purpose Revised),10.0,11-Feb-2011,14-Feb-2011,-,-
4548,POWERGRID,Power Grid Corporation of India Limited,EQ,Dividend-Rs.1.25 Per Share,10.0,06-Sep-2011,-,08-Sep-2011,19-Sep-2011
4995,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend Re.0.80 Per Share (Purpose Revised),10.0,13-Feb-2012,14-Feb-2012,-,-
5640,POWERGRID,Power Grid Corporation of India Limited,EQ,Annual General Meeting/Dividend Re 1.31 Per Share,10.0,05-Sep-2012,-,07-Sep-2012,19-Sep-2012
6079,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend Rs 1.61 Per Share (Purpose Revised),10.0,15-Feb-2013,19-Feb-2013,-,-
6776,POWERGRID,Power Grid Corporation of India Limited,EQ,Annual General Meeting / Dividend - Rs 1.14 Per Share,10.0,05-Sep-2013,-,07-Sep-2013,19-Sep-2013
7246,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend Rs.1.27 Per Share(Purpose Revised),10.0,04-Mar-2014,05-Mar-2014,-,-
7850,POWERGRID,Power Grid Corporation of India Limited,EQ,Annual General Meeting / Final Dividend - Rs 1.31/- Per Share,10.0,04-Sep-2014,-,06-Sep-2014,18-Sep-2014
8334,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend - Re 0.69/- Per Share (Purpose Revised),10.0,09-Mar-2015,10-Mar-2015,-,-
8908,POWERGRID,Power Grid Corporation of India Limited,EQ, Annual General Meeting/ Dividend -  Rs 1.31/- Per Share,10.0,07-Sep-2015,-,09-Sep-2015,15-Sep-2015
9282,POWERGRID,Power Grid Corporation of India Limited,EQ, Interim Dividend -  Re 0.80/- Per Share (Purpose Revised),10.0,03-Feb-2016,04-Feb-2016,-,-
10070,POWERGRID,Power Grid Corporation of India Limited,EQ, Dividend - Rs 1.51 Per Share,10.0,08-Sep-2016,-,10-Sep-2016,16-Sep-2016
10439,POWERGRID,Power Grid Corporation of India Limited,EQ, Interim Dividend Re 1/- Per Share (Purpose Revised),10.0,16-Feb-2017,17-Feb-2017,-,-
11167,POWERGRID,Power Grid Corporation of India Limited,EQ, Dividend - Rs 3.35 Per Share,10.0,11-Sep-2017,-,13-Sep-2017,19-Sep-2017
11522,POWERGRID,Power Grid Corporation of India Limited,EQ, Interim Dividend Rs 2.45 Per Share (Purpose Revised),10.0,08-Feb-2018,09-Feb-2018,-,-
12251,POWERGRID,Power Grid Corporation of India Limited,EQ, Annual General Meeting/Dividend Rs 2.80 Per Share,10.0,10-Sep-2018,-,12-Sep-2018,18-Sep-2018
12756,POWERGRID,Power Grid Corporation of India Limited,EQ, Interim Dividend - Rs 5.83 Per Share,10.0,14-Mar-2019,15-Mar-2019,-,-
13309,POWERGRID,Power Grid Corporation of India Limited,EQ, Annual General Meeting/Dividend - Rs 2.50 Per Share,10.0,19-Aug-2019,-,21-Aug-2019,27-Aug-2019
14058,POWERGRID,Power Grid Corporation of India Limited,EQ, Interim Dividend - Rs 5.96 Per Share,10.0,16-Mar-2020,17-Mar-2020,-,-
14441,POWERGRID,Power Grid Corporation of India Limited,EQ, Annual General Meeting/Dividend - Rs 4.04 Per Share,10.0,02-Sep-2020,-,04-Sep-2020,22-Sep-2020
14799,POWERGRID,Power Grid Corporation of India Limited,EQ, Interim Dividend - Rs 5 Per Share,10.0,17-Dec-2020,19-Dec-2020,-,-
14955,POWERGRID,Power Grid Corporation of India Limited,EQ, Interim Dividend - Rs 4 Per Share,10.0,08-Mar-2021,09-Mar-2021,-,-
15583,POWERGRID,Power Grid Corporation of India Limited,EQ, Annual General Meeting/Dividend - Rs 3 Per Share,10.0,08-Sep-2021,-,10-Sep-2021,24-Sep-2021
16029,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend - Rs 4 Per Share/ Special Dividend - Rs 3 Per Share,10.0,22-Dec-2021,23-Dec-2021,-,-
16144,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend - Rs 5.50 Per Share,10.0,16-Feb-2022,17-Feb-2022,-,-
16832,POWERGRID,Power Grid Corporation of India Limited,EQ,Annual General Meeting/Dividend - Rs 2.25 Per Share,10.0,19-Aug-2022,22-Aug-2022,-,-
17317,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend - Rs 5 Per Share,10.0,14-Nov-2022,15-Nov-2022,-,-
17455,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend - Rs 5 Per Share,10.0,08-Feb-2023,08-Feb-2023,-,-
18138,POWERGRID,Power Grid Corporation of India Limited,EQ,Dividend - Rs 4.75 Per Share,10.0,08-Aug-2023,08-Aug-2023,-,-
18791,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend - Rs 4 Per Share,10.0,16-Nov-2023,16-Nov-2023,-,-
18976,POWERGRID,Power Grid Corporation of India Limited,EQ,Interim Dividend - Rs 4.50 Per Share,10.0,15-Feb-2024,15-Feb-2024,-,-
19722,POWERGRID,Power Grid Corporation of India Limited,EQ,Annual General Meeting/Dividend - Rs 2.75 Per Share,10.0,16-Aug-2024,16-Aug-2024,-,-
107,RELIANCE,Reliance Industries Limited,EQ,Dividend-Rs.7.5/- Per Sh.,10.0,12-May-2005,-,14-May-2005,21-May-2005
559,RELIANCE,Reliance Industries Limited,EQ,Dividend-Rs.10/- Per Sh,10.0,01-Jun-2006,-,03-Jun-2006,10-Jun-2006
1833,RELIANCE,Reliance Industries Limited,EQ,Dividend-Rs.13 Per Share,10.0,08-May-2008,-,10-May-2008,17-May-2008
2859,RELIANCE,Reliance Industries Limited,EQ,Dividend Rs 7 Per Share,10.0,10-May-2010,-,12-May-2010,19-May-2010
3939,RELIANCE,Reliance Industries Limited,EQ,Dividend-Rs.8/- Per Share,10.0,05-May-2011,-,09-May-2011,14-May-2011
5116,RELIANCE,Reliance Industries Limited,EQ,Annual General Meeting And Dividend Rs.8.50 Per Share,10.0,31-May-2012,-,02-Jun-2012,07-Jun-2012
6174,RELIANCE,Reliance Industries Limited,EQ,Annual General Meeting/ Dividend Rs. 9 Per Equity Share,10.0,10-May-2013,-,14-May-2013,18-May-2013
7311,RELIANCE,Reliance Industries Limited,EQ,Dividend Rs. 9.50 Per Equity Share,10.0,16-May-2014,-,20-May-2014,23-May-2014
8379,RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 10/- Per Share,10.0,08-May-2015,-,12-May-2015,15-May-2015
9469,RELIANCE,Reliance Industries Limited,EQ, Interim Dividend - Rs 10.50/- Per Share (Purpose Revised),10.0,17-Mar-2016,18-Mar-2016,-,-
10702,RELIANCE,Reliance Industries Limited,EQ, Dividend -  Rs 11/- Per Share,10.0,13-Jul-2017,14-Jul-2017,-,-
11730,RELIANCE,Reliance Industries Limited,EQ, Dividend- Rs 6 Per Share,10.0,27-Jun-2018,28-Jun-2018,-,-
13207,RELIANCE,Reliance Industries Limited,EQ, Annual General Meeting/Dividend - Rs 6.50 Per Share,10.0,02-Aug-2019,05-Aug-2019,-,-
14243,RELIANCE,Reliance Industries Limited,EQ, Dividend - Rs 6.50  Per Share,10.0,02-Jul-2020,03-Jul-2020,-,-
15064,RELIANCE,Reliance Industries Limited,EQ, Dividend - Rs 7 Per Share,10.0,11-Jun-2021,14-Jun-2021,-,-
16821,RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 8 Per Share,10.0,18-Aug-2022,19-Aug-2022,-,-
18259,RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 9 Per Share,10.0,21-Aug-2023,21-Aug-2023,-,-
19733,RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 10 Per Share,10.0,19-Aug-2024,19-Aug-2024,-,-
11636,SBILIFE,SBI Life Insurance Company Limited,EQ, Interim Dividend - Rs 2 Per Share (Purpose Revised),10.0,03-Apr-2018,04-Apr-2018,-,-
12787,SBILIFE,SBI Life Insurance Company Limited,EQ, Interim Dividend - Rs 2 Per Share,10.0,03-Apr-2019,04-Apr-2019,-,-
14994,SBILIFE,SBI Life Insurance Company Limited,EQ, Interim Dividend - Rs 2.5 Per Share,10.0,05-Apr-2021,06-Apr-2021,-,-
16240,SBILIFE,SBI Life Insurance Company Limited,EQ,Interim Dividend - Rs 2 Per Share,10.0,29-Mar-2022,30-Mar-2022,-,-
17593,SBILIFE,SBI Life Insurance Company Limited,EQ,Interim Dividend - Rs 2.50 Per Share,10.0,16-Mar-2023,16-Mar-2023,-,-
19067,SBILIFE,SBI Life Insurance Company Limited,EQ,Interim Dividend - Rs 2.70 Per Share,10.0,15-Mar-2024,16-Mar-2024,-,-
146,SBIN,State Bank of India,EQ,Dividend-Rs.12.50 Per Sha,1.0,17-Jun-2005,-,21-Jun-2005,30-Jun-2005
592,SBIN,State Bank of India,EQ,Dividend-Rs.14 Per Share,1.0,19-Jun-2006,-,21-Jun-2006,30-Jun-2006
1217,SBIN,State Bank of India,EQ,Dividend-Rs.14/- Per Sh  Purpose Revised,1.0,13-Jun-2007,-,15-Jun-2007,25-Jun-2007
