"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"EMBASSY","Embassy Office Parks REIT","RR","Dividend - Rs 2.20 Per Unit/Interest Amount - Re 0.86 Per Unit/Repayment Of Spv Debt - Rs 2.40 Per Unit","300","31-Oct-2022","01-Nov-2022","-","-"
"ASIANPAINT","Asian Paints Limited","EQ","Interim Dividend - Rs 4.40 Per Share","1","31-Oct-2022","01-Nov-2022","-","-"
"SONATSOFTW","Sonata Software Limited","EQ","Interim Dividend - Rs  7 Per Share","1","31-Oct-2022","01-Nov-2022","-","-"
"SASKEN","Sasken Technologies Limited","EQ","Interim Dividend - Rs 12 Per Share","10","31-Oct-2022","01-Nov-2022","-","-"
"KPIGREEN","KPI Green Energy Limited","EQ","Interim Dividend - Re 0.25 Per Share","5","31-Oct-2022","31-Oct-2022","-","-"
"ISEC","ICICI Securities Limited","EQ","Interim Dividend - Rs 9.75 Per Share","5","31-Oct-2022","01-Nov-2022","-","-"
"FLUOROCHEM","Gujarat Fluorochemicals Limited","EQ","Interim Dividend - Rs  2 Per Share","1","31-Oct-2022","01-Nov-2022","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend - Rs 120 Per Share","1","31-Oct-2022","01-Nov-2022","-","-"
"DCMSHRIRAM","DCM Shriram Limited","EQ","Interim Dividend - Rs 4.60 Per Share","2","31-Oct-2022","01-Nov-2022","-","-"
"HINDUNILVR","Hindustan Unilever Limited","EQ","Interim Dividend - Rs 17 Per Share","1","01-Nov-2022","02-Nov-2022","-","-"
"SHREDIGCEM","Shree Digvijay Cement Co.Ltd","EQ","Interim Dividend - Rs 1.50 Per Share","10","01-Nov-2022","02-Nov-2022","-","-"
"ROUTE","ROUTE MOBILE LIMITED","EQ","Interim Dividend - Rs 3 Per Share","10","01-Nov-2022","02-Nov-2022","-","-"
"RKFORGE","Ramkrishna Forgings Limited","EQ","Interim Dividend - Rs 0.50 Per Share","2","01-Nov-2022","02-Nov-2022","-","-"
"STEELCAS","Steelcast Limited","EQ","Interim Dividend - Rs 1.35 Per Share","5","01-Nov-2022","02-Nov-2022","-","-"
"BSOFT","BIRLASOFT LIMITED","EQ","Interim Dividend - Rs 1.50 Per Share","2","01-Nov-2022","02-Nov-2022","-","-"
"NACLIND","NACL Industries Limited","EQ","Interim Dividend - Rs 0.30 Per Share","1","01-Nov-2022","02-Nov-2022","-","-"
"NAM-INDIA","Nippon Life India Asset Management Limited","EQ","Interim Dividend - Rs  4 Per Share","10","01-Nov-2022","02-Nov-2022","-","-"
"ATUL","Atul Limited","EQ","Special Interim Dividend - Rs 7.50 Per Share","10","02-Nov-2022","03-Nov-2022","-","-"
"HAPPSTMNDS","Happiest Minds Technologies Limited","EQ","Interim Dividend - Rs 2 Per Share","2","02-Nov-2022","03-Nov-2022","-","-"
