,symbol,companyName,industry,isFNOSec,isETFSec,isDelisted,isin,index
2426,WELSPUNLIV,Welspun Living Limited,Other Textile Products,False,False,False,INE192B01031,NIFTY TOTAL MARKET
2427,TVSMOTOR,TVS Motor Company Limited,2/3 Wheelers,True,False,False,INE494B01023,NIFTY TOTAL MARKET
2428,IFBIND,IFB Industries Limited,Household Appliances,False,False,False,INE559A01017,NIFTY TOTAL MARKET
2429,GRAPHITE,Graphite India Limited,Electrodes & Refractories,False,False,False,INE371A01025,NIFTY TOTAL MARKET
2430,INDGN,Indegene Limited,Healthcare Research Analytics & Technology,False,False,False,INE065X01017,NIFTY TOTAL MARKET
2431,MIDHANI,Mishra Dhatu Nigam Limited,Aerospace & Defense,False,False,False,INE099Z01011,NIFTY TOTAL MARKET
2432,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,False,False,False,INE159A01016,NIFTY TOTAL MARKET
2433,HOMEFIRST,Home First Finance Company India Limited,Housing Finance Company,False,False,False,INE481N01025,NIFTY TOTAL MARKET
2434,ALLCARGO,Allcargo Logistics Limited,Logistics Solution Provider,False,False,False,INE418H01029,NIFTY TOTAL MARKET
2435,IFCI,IFCI Limited,Financial Institution,False,False,False,INE039A07769,NIFTY TOTAL MARKET
2436,ATUL,Atul Limited,Specialty Chemicals,True,False,False,INE100A01010,NIFTY TOTAL MARKET
2437,HINDWAREAP,Hindware Home Innovation Limited,Sanitary Ware,False,False,False,INE05AN01011,NIFTY TOTAL MARKET
2438,ITI,ITI Limited,Telecom - Equipment & Accessories,False,False,False,INE248A01017,NIFTY TOTAL MARKET
2439,CANFINHOME,Can Fin Homes Limited,Housing Finance Company,True,False,False,INE477A01020,NIFTY TOTAL MARKET
2440,IOB,Indian Overseas Bank,Public Sector Bank,False,False,False,INE565A01014,NIFTY TOTAL MARKET
2441,NLCINDIA,NLC India Limited,Power Generation,False,False,False,INE589A01014,NIFTY TOTAL MARKET
2442,NAUKRI,Info Edge (India) Limited,Internet & Catalogue Retail,True,False,False,INE663F01024,NIFTY TOTAL MARKET
2443,BHEL,Bharat Heavy Electricals Limited,Heavy Electrical Equipment,True,False,False,INE257A01026,NIFTY TOTAL MARKET
2444,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Railway Wagons,False,False,False,INE615H01020,NIFTY TOTAL MARKET
