"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"HBLPOWER","HBL Power Systems Limited","EQ","Fv Split Rs.10/- To Re.1/","1","24-Nov-2009","25-Nov-2009","-","-"
"JINDALSAW","Jindal Saw Limited","EQ","Fv Split Rs.10/- To Rs.2/","1","10-Dec-2009","11-Dec-2009","-","-"
"JKLAKSHMI","JK Lakshmi Cement Limited","EQ","Fv Split Rs.10 To Rs.5","5","17-Dec-2009","18-Dec-2009","-","-"
"NUTEK","Nu Tek India Limited","EQ","Fv Split Rs.10 To Rs.5","5","23-Dec-2009","24-Dec-2009","-","-"
"LITL","Lanco Infratech Limited","EQ","Fv Split Rs.10 To Re.1","1","04-Jan-2010","05-Jan-2010","-","-"
"WINSOMYARN","Winsome Yarns Limited","EQ","Fv Split Rs.10 To Re.1","1","21-Jan-2010","22-Jan-2010","-","-"
"BAJAJELEC","Bajaj Electricals Limited","EQ","Fv Split Rs.10 To Rs.2","2","28-Jan-2010","29-Jan-2010","-","-"
"CCCL","Consolidated Construction Consortium Limited","EQ","Fv Split Rs.10 To Rs.2","2","10-Feb-2010","11-Feb-2010","-","-"
"MURLIIND","Murli Industries Limited","EQ","Fv Split Rs.10 To Rs.2","2","18-Mar-2010","19-Mar-2010","-","-"
"IPCALAB","IPCA Laboratories Limited","EQ","Fv Split Rs.10 To Rs.2","1","22-Mar-2010","23-Mar-2010","-","-"
"KMSUGAR","K.M.Sugar Mills Limited","EQ","Fv Split Rs.10 To Rs.2","2","26-Mar-2010","29-Mar-2010","-","-"
"M&M","Mahindra & Mahindra Limited","EQ","Fv Split Rs.10 To Rs.5","5","29-Mar-2010","30-Mar-2010","-","-"
"SEINVEST","S.E. Investments Limited","EQ","Fv Split Rs.10 To Rs.2","1","05-Apr-2010","06-Apr-2010","-","-"
"UNITY","Unity Infraprojects Limited","EQ","Fv Split Rs.10 To Rs.2","2","07-Apr-2010","08-Apr-2010","-","-"
"VIPUL","Vipul Limited","EQ","Fv Split Rs.2/- To Re.1/-","1","04-May-2010","05-May-2010","-","-"
"TULIP","Tulip Telecom Limited","EQ","Fv Split Rs.10/- To Rs.2/-","2","06-Jul-2010","07-Jul-2010","-","-"
"PRATIBHA","Pratibha Industries Limited","EQ","Fv Split Rs.10/- To Rs.2/-","2","30-Jul-2010","02-Aug-2010","-","-"
